,,rango,prom_lunch_standard,prom_lunch_Free,rango,,,,Solución;,,
,,101,72.66666667,60.66666667,42,,,,,H0: No existe diferencia en el promedio de calificaciones con alumnos que tuvieron lunch estándar o reducido,
,,183,91.33333333,70.33333333,87,,,,,Ha: Existe diferencia en el promedio de calificaciones con alumnos que tuvieron lunch estándar o reducido,
,,185.5,91.66666667,75.33333333,117,,,,,,
,,64.5,66,77,128.5,,,,"Luego,",,
,,150,80.66666667,74.33333333,107.5,,,,,R1 =,11309.5
,,106,74,82.66666667,158.5,,,,,R2 =,8714.5
,,20,54.66666667,73.33333333,104,,,,,100,
,,125.5,76.66666667,64.66666667,56.5,,,,"Por otro lado, dado que n1 = n2 = 100",,
,,83,69.33333333,73,103,,,,Entonces:,,
,,53.5,64.33333333,89.33333333,179,,,,,u =,3740.5
,,180,89.66666667,53.66666667,18.5,,,,,,
,,64.5,66,55.66666667,22,,,,"Luego, para estandarizar procedemos a calcular lo siguiente:",,
,,77.5,68.66666667,64,50.5,,,,,E[u] =,5000
,,14,50.33333333,60,40,,,,,var(u) =,167500
,,177,89,75.66666667,119,,,,,,
,,95,71.33333333,64.66666667,56.5,,,,Así,,
,,134,77.66666667,78.66666667,137.5,,,,,Z =,-3.077448303
,,44,61.33333333,78,135.5,,,,,,
,,29,57.66666667,75,114,,,,"Además, ",,
,,141,79.33333333,80.66666667,150,,,,,Ztablas =,-1.96
,,97.5,72,50.66666667,16,,,,,,
,,72,67.66666667,59,36,,,,Notemos que Z no está en el intervalo de las tablas,,
,,68,66.66666667,57.66666667,29,,,,"Por lo tanto, rechazamos H0, es decir",,
,,131.5,77.33333333,68.33333333,75.5,,,,Ha: Existe diferencia en el promedio de calificaciones con alumnos que tuvieron lunch estándar o reducido,,
,,143,79.66666667,76.66666667,125.5,,,,,,
,,64.5,66,46,8,,,,,,
,,4.5,43.33333333,63.66666667,48.5,,,,,,
,,156,82.33333333,53.66666667,18.5,,,,,,
,,125.5,76.66666667,81,152.5,,,,,,
,,107.5,74.33333333,85.66666667,170.5,,,,,,
,,192,97,88,175,,,,,,
,,167.5,84.33333333,50.33333333,14,,,,,,
,,173,87,77.33333333,131.5,,,,,,
,,46,61.66666667,69,80,,,,,,
,,158.5,82.66666667,53.33333333,17,,,,,,
,,139,79,80.33333333,147,,,,,,
,,165,84,78,135.5,,,,,,
,,3,42.33333333,84,165,,,,,,
,,172,86.33333333,83,160.5,,,,,,
,,196.5,98.66666667,76,122,,,,,,
,,125.5,76.66666667,75,114,,,,,,
,,165,84,41,2,,,,,,
,,53.5,64.33333333,56.33333333,24.5,,,,,,
,,24.5,56.33333333,67.33333333,70.5,,,,,,
,,99,72.33333333,97.33333333,193,,,,,,
,,40,60,69,80,,,,,,
,,156,82.33333333,70,85.5,,,,,,
,,124,76.33333333,44.33333333,6,,,,,,
,,29,57.66666667,50,12,,,,,,
,,97.5,72,75.66666667,119,,,,,,
,,185.5,91.66666667,48.66666667,9,,,,,,
,,58.5,65.33333333,78.66666667,137.5,,,,,,
,,33.5,58.66666667,61.33333333,44,,,,,,
,,91.5,71,70.66666667,88.5,,,,,,
,,122,76,65.66666667,61,,,,,,
,,119,75.66666667,62.66666667,47,,,,,,
,,144.5,80,79.33333333,141,,,,,,
,,181.5,90,70.66666667,88.5,,,,,,
,,189,92.66666667,59,36,,,,,,
,,169,84.66666667,64.33333333,53.5,,,,,,
,,141,79.33333333,85.66666667,170.5,,,,,,
,,91.5,71,66.33333333,67,,,,,,
,,101,72.66666667,76,122,,,,,,
,,131.5,77.33333333,81,152.5,,,,,,
,,196.5,98.66666667,68,73.5,,,,,,
,,185.5,91.66666667,97.66666667,194.5,,,,,,
,,40,60,49.33333333,10.5,,,,,,
,,177,89,55.66666667,22,,,,,,
,,73.5,68,58.33333333,32,,,,,,
,,160.5,83,68.66666667,77.5,,,,,,
,,114,75,68.33333333,75.5,,,,,,
,,26,57,58.66666667,33.5,,,,,,
,,156,82.33333333,71,91.5,,,,,,
,,83,69.33333333,67.33333333,70.5,,,,,,
,,69,67,55.66666667,22,,,,,,
,,177,89,61.33333333,44,,,,,,
,,58.5,65.33333333,74.66666667,110,,,,,,
,,83,69.33333333,80.33333333,147,,,,,,
,,48.5,63.66666667,77,128.5,,,,,,
,,174,87.33333333,43.33333333,4.5,,,,,,
,,114,75,64,50.5,,,,,,
,,188,92,71.33333333,95,,,,,,
,,31,58,57.33333333,27,,,,,,
,,38,59.66666667,73.66666667,105,,,,,,
,,64.5,66,80.66666667,150,,,,,,
,,162,83.33333333,75,114,,,,,,
,,110,74.66666667,80,144.5,,,,,,
,,199,100,72.66666667,101,,,,,,
,,198,99.66666667,49.33333333,10.5,,,,,,
,,91.5,71,80.33333333,147,,,,,,
,,53.5,64.33333333,97.66666667,194.5,,,,,,
,,131.5,77.33333333,84.33333333,167.5,,,,,,
,,95,71.33333333,45.33333333,7,,,,,,
,,36,59,34.33333333,1,,,,,,
,,185.5,91.66666667,81.33333333,154,,,,,,
,,163,83.66666667,70,85.5,,,,,,
,,181.5,90,69,80,,,,,,
,,110,74.66666667,65.66666667,61,,,,,,
,,61,65.66666667,93.33333333,190,,,,,,
,,191,96.33333333,50.33333333,14,,,,,,
Suma:,,11309.5,,,8714.5,,,,,,
